date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-07-08,pec,P,DE,D,CLINTON,0.99,0.19,,
2016-07-08,pec,P,DE,R,TRUMP,0.01,-0.19,,
2016-07-08,pec,P,FL,D,CLINTON,0.7,0.005,,
2016-07-08,pec,P,FL,R,TRUMP,0.3,-0.005,,
2016-07-08,pec,P,GA,D,CLINTON,0.3,-0.04,,
2016-07-08,pec,P,GA,R,TRUMP,0.7,0.04,,
2016-07-08,pec,P,HI,D,CLINTON,1.0,0.43,,
2016-07-08,pec,P,HI,R,TRUMP,0.0,-0.43,,
2016-07-08,pec,P,IA,D,CLINTON,0.65,0.02,,
2016-07-08,pec,P,IA,R,TRUMP,0.35,-0.02,,
2016-07-08,pec,P,ID,D,CLINTON,0.0,-0.32,,
2016-07-08,pec,P,ID,R,TRUMP,1.0,0.32,,
2016-07-08,pec,P,IL,D,CLINTON,1.0,0.25,,
2016-07-08,pec,P,IL,R,TRUMP,0.0,-0.25,,
2016-07-08,pec,P,IN,D,CLINTON,0.16,-0.075,,
