date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-10-03,predictwise_overall,P,CO,R,TRUMP,0.13,,,
2016-10-03,predictwise_overall,P,CT,D,CLINTON,1.0,,,
2016-10-03,predictwise_overall,P,CT,R,TRUMP,0.0,,,
2016-10-03,predictwise_overall,P,DC,D,CLINTON,1.0,,,
2016-10-03,predictwise_overall,P,DC,R,TRUMP,0.0,,,
2016-10-03,predictwise_overall,P,DE,D,CLINTON,1.0,,,
2016-10-03,predictwise_overall,P,DE,R,TRUMP,0.0,,,
2016-10-03,predictwise_overall,P,FL,D,CLINTON,0.69,,,
2016-10-03,predictwise_overall,P,FL,R,TRUMP,0.31,,,
2016-10-03,predictwise_overall,P,GA,D,CLINTON,0.1,,,
2016-10-03,predictwise_overall,P,GA,R,TRUMP,0.9,,,
2016-10-03,predictwise_overall,P,HI,D,CLINTON,1.0,,,
2016-10-03,predictwise_overall,P,HI,R,TRUMP,0.0,,,
2016-10-03,predictwise_overall,P,IA,D,CLINTON,0.43,,,
2016-10-03,predictwise_overall,P,IA,R,TRUMP,0.57,,,
2016-10-03,predictwise_overall,P,ID,D,CLINTON,0.0,,,
2016-10-03,predictwise_overall,P,ID,R,TRUMP,1.0,,,
2016-10-03,predictwise_overall,P,IL,D,CLINTON,1.0,,,
2016-10-03,predictwise_overall,P,IL,R,TRUMP,0.0,,,
2016-10-03,predictwise_overall,P,IN,D,CLINTON,0.03,,,
2016-10-03,predictwise_overall,P,IN,R,TRUMP,0.97,,,
2016-10-03,predictwise_overall,P,KS,D,CLINTON,0.01,,,
2016-10-03,predictwise_overall,P,KS,R,TRUMP,0.99,,,
2016-10-03,predictwise_overall,P,KY,D,CLINTON,0.01,,,
2016-10-03,predictwise_overall,P,KY,R,TRUMP,0.99,,,
2016-10-03,predictwise_overall,P,LA,D,CLINTON,0.01,,,
2016-10-03,predictwise_overall,P,LA,R,TRUMP,0.99,,,
2016-10-03,predictwise_overall,P,MA,D,CLINTON,1.0,,,
2016-10-03,predictwise_overall,P,MA,R,TRUMP,0.0,,,
2016-10-03,predictwise_overall,P,MD,D,CLINTON,1.0,,,
2016-10-03,predictwise_overall,P,MD,R,TRUMP,0.0,,,
2016-10-03,predictwise_overall,P,ME,D,CLINTON,0.93,,,
2016-10-03,predictwise_overall,P,ME,R,TRUMP,0.07,,,
2016-10-03,predictwise_overall,P,MI,D,CLINTON,0.94,,,
2016-10-03,predictwise_overall,P,MI,R,TRUMP,0.06,,,
2016-10-03,predictwise_overall,P,MN,D,CLINTON,0.95,,,
2016-10-03,predictwise_overall,P,MN,R,TRUMP,0.05,,,
2016-10-03,predictwise_overall,P,MO,D,CLINTON,0.05,,,
2016-10-03,predictwise_overall,P,MO,R,TRUMP,0.95,,,
2016-10-03,predictwise_overall,P,MS,D,CLINTON,0.0,,,
2016-10-03,predictwise_overall,P,MS,R,TRUMP,1.0,,,
2016-10-03,predictwise_overall,P,MT,D,CLINTON,0.07,,,
2016-10-03,predictwise_overall,P,MT,R,TRUMP,0.93,,,
2016-10-03,predictwise_overall,P,NC,D,CLINTON,0.63,,,
2016-10-03,predictwise_overall,P,NC,R,TRUMP,0.37,,,
2016-10-03,predictwise_overall,P,ND,D,CLINTON,0.0,,,
2016-10-03,predictwise_overall,P,ND,R,TRUMP,1.0,,,
2016-10-03,predictwise_overall,P,NE,D,CLINTON,0.0,,,
2016-10-03,predictwise_overall,P,NE,R,TRUMP,1.0,,,
2016-10-03,predictwise_overall,P,NH,D,CLINTON,0.92,,,
2016-10-03,predictwise_overall,P,NH,R,TRUMP,0.08,,,
2016-10-03,predictwise_overall,P,NJ,D,CLINTON,1.0,,,
2016-10-03,predictwise_overall,P,NJ,R,TRUMP,0.0,,,
2016-10-03,predictwise_overall,P,NM,D,CLINTON,0.96,,,
2016-10-03,predictwise_overall,P,NM,R,TRUMP,0.04,,,
2016-10-03,predictwise_overall,P,NV,D,CLINTON,0.71,,,
2016-10-03,predictwise_overall,P,NV,R,TRUMP,0.29,,,
2016-10-03,predictwise_overall,P,NY,D,CLINTON,1.0,,,
2016-10-03,predictwise_overall,P,NY,R,TRUMP,0.0,,,
2016-10-03,predictwise_overall,P,OH,D,CLINTON,0.55,,,
2016-10-03,predictwise_overall,P,OH,R,TRUMP,0.45,,,
